what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1448932051782
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1448932051784
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1448932051784
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1448932051785
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1448932051785
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1448932051785
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1448932051785
started,bundle,es.ucm.gaia.colibristudio.LibraryPool,1.0.0,"es.ucm.gaia.colibristudio.LibraryPool",1448932051786
started,bundle,es.ucm.gaia.colibristudio.ViewColoursInfo,1.0.0,"es.ucm.gaia.colibristudio.ViewColoursInfo",1448932051786
started,bundle,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"es.ucm.gaia.colibristudio.ViewTemplateEditor",1448932051787
os,sysinfo,,,"win32",1448932051790
arch,sysinfo,,,"x86_64",1448932051790
ws,sysinfo,,,"win32",1448932051790
locale,sysinfo,,,"pt_BR",1448932051790
processors,sysinfo,,,"4",1448932051790
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1448932051790
java.runtime.version,sysinfo,,,"1.8.0_66-b18",1448932051790
java.specification.name,sysinfo,,,"Java Platform API Specification",1448932051790
java.specification.vendor,sysinfo,,,"Oracle Corporation",1448932051790
java.specification.version,sysinfo,,,"1.8",1448932051790
java.vendor,sysinfo,,,"Oracle Corporation",1448932051790
java.version,sysinfo,,,"1.8.0_66",1448932051790
java.vm.info,sysinfo,,,"mixed mode",1448932051790
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1448932051790
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1448932051790
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1448932051790
java.vm.specification.version,sysinfo,,,"1.8",1448932051790
java.vm.vendor,sysinfo,,,"Oracle Corporation",1448932051790
java.vm.version,sysinfo,,,"25.66-b18",1448932051790
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1448932051793
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448932055179
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1448932055274
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1448932055524
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448932058512
started,bundle,es.ucm.gaia.colibristudio.RunButton,1.0.0,"es.ucm.gaia.colibristudio.RunButton",1448932081947
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1448932082045
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1448932082059
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1448932082176
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1448932082242
opened,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448932090294
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448932090311
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.SystemEditorView",1448932091203
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448932092879
started,bundle,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"es.ucm.gaia.colibristudio.ViewSimilarity",1448932093710
started,bundle,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"es.ucm.gaia.colibristudio.ViewCaseDesigner",1448932093760
opened,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448932093786
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448932093819
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448932095021
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.SystemEditorView",1448932095774
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448932097881
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.SystemEditorView",1448932098829
started,bundle,es.ucm.gaia.colibristudio.WizardNewProject,1.0.0,"es.ucm.gaia.colibristudio.WizardNewProject",1448932110199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932110519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932142841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932147387
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932148517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932150281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932151590
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448932188441
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448932202495
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448932229176
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1448932237264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932238272
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932239608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448932273931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932274980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932288578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932298325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932311868
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1448932312424
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932313923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932316690
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1448932320144
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1448932320153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448932320425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448932330124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448932337585
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932339184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932343033
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932344282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932344637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932344989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932345294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932345687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932346308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932346716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448932347089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932357910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932359399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448932401141
