what,kind,bundleId,bundleVersion,description,time
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.SystemEditorView",1448971683068
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448971687445
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448971688649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971698462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971699924
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971703261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971717725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971721396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971723926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971727178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971729709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971735238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971740276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971744363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971745798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971748467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971750365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971753931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971756782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971759125
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971760406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971765267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971768069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971770078
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971772350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971775690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971785410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971789132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971790594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971797920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971804549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971804596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971828549
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448971838403
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448971839239
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448971840153
activated,view,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"colibristudio.casebaseselector.views.CaseBaseSelector",1448971841598
activated,view,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"colibristudio.casedesigner.views.CaseDesignerView",1448971842216
started,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1448971863592
started,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1448971863603
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1448971863881
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1448971863902
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1448971864007
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971864159
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1448971864296
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1448971864300
started,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1448971864816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971924027
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448971926631
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448971927288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448971932070
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972096627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972101457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972102321
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448972107800
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448972114070
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1448972114980
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1448972115005
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1448972118229
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448972181671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448972182449
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448972192564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972194734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972195957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972197261
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972202738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972202786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972202956
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448972202968
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448972239180
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1448972245344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972247182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972248430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972249527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972255704
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448972255860
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448972265962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1448972268481
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1448972268548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448972269765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972270843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972271812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972273204
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972278240
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448972278385
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448972280042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972304706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972305607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972306568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972307727
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448972307912
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448972311085
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448972319799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448975751337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448975753220
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448975964069
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448975967458
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448975967474
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448975967538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.closeAll",1448975967550
activated,perspective,es.ucm.gaia.colibristudio.PerspectiveColibriStudio,,"jcolibriperspective.perspectives.CBRPerspective",1448976379314
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1448976379316
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1448976379316
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1448976379317
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1448976379318
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1448976379319
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1448976379320
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1448976379321
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1448976379322
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1448976379323
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1448976379324
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1448976379325
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1448976379342
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1448976379343
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1448976379344
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1448976379345
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1448976379345
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1448976379349
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1448976379349
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1448976379350
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1448976379350
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1448976379354
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1448976379355
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1448976379356
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1448976379357
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1448976379357
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1448976379358
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1448976379359
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1448976379359
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1448976379360
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1448976379360
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1448976379361
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1448976379362
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1448976379362
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1448976379363
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1448976379364
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1448976379364
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1448976379365
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1448976379366
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1448976379366
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1448976379367
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1448976379368
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1448976379368
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1448976379369
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1448976379370
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1448976379370
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1448976379371
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1448976379371
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1448976379372
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1448976379373
started,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1448976379373
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1448976379373
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1448976379374
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1448976379374
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1448976379375
