what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977282860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977286275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977287744
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977289789
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977298336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977300071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977301104
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977303962
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977306103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977309973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977311177
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.SystemEditorView",1448977317191
started,bundle,es.ucm.gaia.colibristudio.WizardNewProject,1.0.0,"es.ucm.gaia.colibristudio.WizardNewProject",1448977320247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977320576
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977395909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977398639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977399896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977401420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977402853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977417853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977418942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977420172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977421299
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448977437078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977511603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977531350
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1448977534678
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1448977534689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448977534952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448977544929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448977554963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977557712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977560173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977563197
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977566073
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448977568187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977583669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977585384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448977590355
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1448977595506
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.TaskList",1448977600774
opened,view,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"colibristudio.casedesigner.views.CaseDesignerView",1448977600957
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448977601009
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448977605192
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448977606770
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448977615975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1448977618271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977623960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977626900
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1448977631272
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448977631531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448977632651
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977643325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977643515
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1448977648181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977651407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977659081
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448977667611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977671902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977673158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977678382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977680918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448977682625
