what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448979147140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979149040
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448979170607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979197238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979197495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979208844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979220807
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448979222292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979243999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979280879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1448979290041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979297446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979297834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979299900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979305661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979312533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979320470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979325934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448979343657
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979347379
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448979347607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1448979359381
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448979361563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979367857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979374476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979378656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979383157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979431223
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448979433285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979434154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448979434982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979442652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979443439
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979447411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1448979448774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448979453648
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448979453992
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979455972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979457156
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448979458726
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448979504194
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979514872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979515374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979515865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979523556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979526511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1448979528653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979539685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979539994
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979540348
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979540850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979543177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979587533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1448979595891
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979603508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979608927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448979610210
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1448979611495
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448979631278
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448979631478
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448979632875
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448979633880
started,bundle,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"es.ucm.gaia.colibristudio.ViewCaseBaseSelector",1448979660131
opened,view,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"colibristudio.casebaseselector.views.CaseBaseSelector",1448979660397
activated,view,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"colibristudio.casebaseselector.views.CaseBaseSelector",1448979660416
activated,view,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"colibristudio.casedesigner.views.CaseDesignerView",1448979661594
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448979663831
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1448979664849
