what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1448976538238
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1448976538238
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1448976538239
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1448976538240
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1448976538240
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1448976538240
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1448976538241
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1448976538242
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1448976538242
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1448976538243
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1448976538243
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1448976538244
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1448976538245
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1448976538245
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1448976538246
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1448976538247
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1448976538248
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1448976538249
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1448976538250
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1448976538250
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1448976538251
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1448976538252
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1448976538253
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1448976538253
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1448976538254
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1448976538255
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1448976538255
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1448976538256
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1448976538256
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1448976538257
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1448976538257
started,bundle,es.ucm.gaia.colibristudio.LibraryPool,1.0.0,"es.ucm.gaia.colibristudio.LibraryPool",1448976538258
started,bundle,es.ucm.gaia.colibristudio.ViewColoursInfo,1.0.0,"es.ucm.gaia.colibristudio.ViewColoursInfo",1448976538258
started,bundle,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"es.ucm.gaia.colibristudio.ViewTemplateEditor",1448976538259
os,sysinfo,,,"win32",1448976538262
arch,sysinfo,,,"x86_64",1448976538262
ws,sysinfo,,,"win32",1448976538262
locale,sysinfo,,,"pt_BR",1448976538262
processors,sysinfo,,,"4",1448976538262
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1448976538262
java.runtime.version,sysinfo,,,"1.8.0_66-b18",1448976538262
java.specification.name,sysinfo,,,"Java Platform API Specification",1448976538262
java.specification.vendor,sysinfo,,,"Oracle Corporation",1448976538262
java.specification.version,sysinfo,,,"1.8",1448976538262
java.vendor,sysinfo,,,"Oracle Corporation",1448976538262
java.version,sysinfo,,,"1.8.0_66",1448976538262
java.vm.info,sysinfo,,,"mixed mode",1448976538262
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1448976538262
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1448976538262
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1448976538262
java.vm.specification.version,sysinfo,,,"1.8",1448976538262
java.vm.vendor,sysinfo,,,"Oracle Corporation",1448976538262
java.vm.version,sysinfo,,,"25.66-b18",1448976538262
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1448976538265
started,bundle,es.ucm.gaia.colibristudio.WizardNewProject,1.0.0,"es.ucm.gaia.colibristudio.WizardNewProject",1448976541669
started,bundle,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"es.ucm.gaia.colibristudio.ViewCaseBaseSelector",1448976542060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976542880
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1448976543053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976629722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976631049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976634576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976640452
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448976742225
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448976742249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976743203
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448976747354
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1448976747441
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.closeProject",1448976752029
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1448976752139
started,bundle,es.ucm.gaia.colibristudio.RunButton,1.0.0,"es.ucm.gaia.colibristudio.RunButton",1448976756777
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1448976756821
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1448976756835
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1448976756945
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1448976757000
started,bundle,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"es.ucm.gaia.colibristudio.ViewPlainTextConnector",1448976761873
opened,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448976761899
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448976761921
opened,view,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"colibristudio.casebaseselector.views.CaseBaseSelector",1448976764097
activated,view,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"colibristudio.casebaseselector.views.CaseBaseSelector",1448976764122
started,bundle,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"es.ucm.gaia.colibristudio.ViewCaseDesigner",1448976765281
opened,view,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"colibristudio.casedesigner.views.CaseDesignerView",1448976765341
activated,view,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"colibristudio.casedesigner.views.CaseDesignerView",1448976765381
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448976767537
started,bundle,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"es.ucm.gaia.colibristudio.ViewSimilarity",1448976768404
opened,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448976768471
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448976768500
opened,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448976769200
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448976769212
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.SystemEditorView",1448976770496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976785685
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976788564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976789967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976791586
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1448976793219
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1448976795225
activated,view,es.ucm.gaia.colibristudio.ViewCaseDesigner,1.0.0,"colibristudio.casedesigner.views.CaseDesignerView",1448976807303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976816632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976823779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976829123
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976830617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976830927
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1448976832104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976833369
activated,view,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"colibristudio.casebaseselector.views.CaseBaseSelector",1448976835766
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448976838779
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976841980
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976845413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976845500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976848265
activated,view,es.ucm.gaia.colibristudio.ViewCaseBaseSelector,1.0.0,"colibristudio.casebaseselector.views.CaseBaseSelector",1448976883751
activated,view,es.ucm.gaia.colibristudio.ViewPlainTextConnector,1.0.0,"colibristudio.plaintextconnector.views.TextConnectorView",1448976886936
activated,view,es.ucm.gaia.colibristudio.ViewSimilarity,1.0.0,"colibristudio.similarityconfig.views.SimilarityConfigView",1448976887692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976892312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1448976897077
activated,view,es.ucm.gaia.colibristudio.ViewTemplateEditor,1.0.0,"viewpanel.views.TemplateEditorView",1448976906364
